dynamic_range,method,seed,stochastic,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30
2.0,PyMDE,8,True,0.2655910257777276,0.3107786189080733,0.3499979275594344,0.3856564854448739,0.4439986445307298,0.5255263956952758,0.6420797127917666,0.4669028893855129,0.5330971106144871,0.45067590208485747,0.5493240979151426,0.42957832422504494,0.5704216757749551,0.41276215915991304,0.5872378408400869,0.38870915626121866,0.6112908437387814,0.3629813422142515,0.6370186577857485,0.331470799190857,0.668529200809143,0.6420797127917666,0.331470799190857,0.668529200809143,0.2655910257777276,0.3107786189080733,0.3499979275594344,0.3856564854448739,0.4439986445307298,0.5255263956952758,0.6420797127917666,0.4669028893855129,0.5330971106144871,0.45067590208485747,0.5493240979151426,0.42957832422504494,0.5704216757749551,0.41276215915991304,0.5872378408400869,0.38870915626121866,0.6112908437387814,0.3629813422142515,0.6370186577857485,0.331470799190857,0.668529200809143,0.048799999999999996,0.10326666666666666,0.16043333333333332,0.7262256048387097,0.7332376663254861,0.7409519469181072,0.8935090725806452,0.8727547594677585,0.8598178103719225
2.0,PyMDE,9,True,0.27450918527403095,0.3110720160209111,0.35344307595502533,0.3842243417325836,0.44584364936062454,0.523347757657022,0.6380943511595045,0.4860566073101863,0.5139433926898137,0.4659848644287685,0.5340151355712315,0.43735620099584166,0.5626437990041584,0.4190545885484915,0.5809454114515085,0.39126113062446694,0.6087388693755331,0.3643613365235597,0.6356386634764404,0.3325377835162867,0.6674622164837133,0.6380943511595045,0.3325377835162867,0.6674622164837133,0.27450918527403095,0.3110720160209111,0.35344307595502533,0.3842243417325836,0.44584364936062454,0.523347757657022,0.6380943511595045,0.4860566073101863,0.5139433926898137,0.4659848644287685,0.5340151355712315,0.43735620099584166,0.5626437990041584,0.4190545885484915,0.5809454114515085,0.39126113062446694,0.6087388693755331,0.3643613365235597,0.6356386634764404,0.3325377835162867,0.6674622164837133,0.0498,0.10866666666666666,0.16299999999999998,0.7280066532258065,0.7311648584100989,0.7364147022874106,0.8856217741935484,0.8663804844762879,0.8530918107211455
2.0,PyMDE,10,True,0.2789965381454145,0.3119637068548845,0.3558763990012753,0.3923433091281324,0.45789362759378804,0.5369109575141022,0.6496517543217011,0.47167983604588254,0.5283201639541175,0.4547855664237398,0.5452144335762602,0.4305702907421903,0.5694297092578098,0.41374163167796063,0.5862583683220394,0.3876949449471331,0.6123050550528669,0.3604558673239956,0.6395441326760044,0.3290618802961367,0.6709381197038633,0.6496517543217011,0.3290618802961367,0.6709381197038633,0.2789965381454145,0.3119637068548845,0.3558763990012753,0.3923433091281324,0.45789362759378804,0.5369109575141022,0.6496517543217011,0.47167983604588254,0.5283201639541175,0.4547855664237398,0.5452144335762602,0.4305702907421903,0.5694297092578098,0.41374163167796063,0.5862583683220394,0.3876949449471331,0.6123050550528669,0.3604558673239956,0.6395441326760044,0.3290618802961367,0.6709381197038633,0.0496,0.10406666666666667,0.16076666666666667,0.7302098790322581,0.7354047082906858,0.7431226820324778,0.8952502016129033,0.8751791879904469,0.8631622489959839
2.0,PyMDE,11,True,0.2719952226658179,0.3134653562187858,0.34890386345740115,0.3838504232945632,0.4451865358211803,0.5266626857498157,0.6409603910278887,0.4835444879936429,0.5164555120063571,0.45910285132258366,0.5408971486774163,0.43347035825794605,0.566529641742054,0.4148310908637962,0.5851689091362038,0.389179584843536,0.610820415156464,0.3626028748568441,0.6373971251431558,0.33147575121081707,0.6685242487891829,0.6409603910278887,0.33147575121081707,0.6685242487891829,0.2719952226658179,0.3134653562187858,0.34890386345740115,0.3838504232945632,0.4451865358211803,0.5266626857498157,0.6409603910278887,0.4835444879936429,0.5164555120063571,0.45910285132258366,0.5408971486774163,0.43347035825794605,0.566529641742054,0.4148310908637962,0.5851689091362038,0.389179584843536,0.610820415156464,0.3626028748568441,0.6373971251431558,0.33147575121081707,0.6685242487891829,0.046,0.10640000000000001,0.16393333333333335,0.7188566532258065,0.7301420675537359,0.7398357953553344,0.8909552419354838,0.8703216649607642,0.8597608521040685
2.0,PyMDE,12,True,0.26626859210426485,0.30792684334921205,0.3501880866817129,0.3856149724513169,0.451751234249132,0.5311723471250042,0.6465724281133386,0.4764951864559619,0.5235048135440381,0.45582105110059207,0.544178948899408,0.4309483197490122,0.5690516802509877,0.4149787930252956,0.5850212069747044,0.38909970869705496,0.6109002913029451,0.3631693451824423,0.6368306548175577,0.3310447870692563,0.6689552129307437,0.6465724281133386,0.3310447870692563,0.6689552129307437,0.26626859210426485,0.30792684334921205,0.3501880866817129,0.3856149724513169,0.451751234249132,0.5311723471250042,0.6465724281133386,0.4764951864559619,0.5235048135440381,0.45582105110059207,0.544178948899408,0.4309483197490122,0.5690516802509877,0.4149787930252956,0.5850212069747044,0.38909970869705496,0.6109002913029451,0.3631693451824423,0.6368306548175577,0.3310447870692563,0.6689552129307437,0.0512,0.10666666666666667,0.15996666666666667,0.7375780241935483,0.7406081883316273,0.7471864152261218,0.8920897177419355,0.8713334698055271,0.8602475641697224
2.0,PyMDE,13,True,0.28575714241808237,0.3141117744484368,0.34883756157064966,0.38305137968025127,0.4473917763727525,0.5284691016858539,0.6387405832017927,0.4810524120080413,0.5189475879919587,0.461213720313091,0.538786279686909,0.4336938925232955,0.5663061074767045,0.4173114516740929,0.5826885483259071,0.39114819532032546,0.6088518046796745,0.3635344233709883,0.6364655766290117,0.33267574883382334,0.6673242511661767,0.6387405832017927,0.33267574883382334,0.6673242511661767,0.28575714241808237,0.3141117744484368,0.34883756157064966,0.38305137968025127,0.4473917763727525,0.5284691016858539,0.6387405832017927,0.4810524120080413,0.5189475879919587,0.461213720313091,0.538786279686909,0.4336938925232955,0.5663061074767045,0.4173114516740929,0.5826885483259071,0.39114819532032546,0.6088518046796745,0.3635344233709883,0.6364655766290117,0.33267574883382334,0.6673242511661767,0.0514,0.10286666666666666,0.1582,0.7303689516129033,0.7311349027635619,0.7387295617251615,0.8891358870967742,0.8712569771409076,0.8598400558756767
2.0,PyMDE,14,True,0.2744834246910649,0.3048432878742899,0.3448541326073453,0.38249739583460646,0.44695465907776316,0.528607843197881,0.6504483745983585,0.4757787525462571,0.5242212474537429,0.45683472214158866,0.5431652778584113,0.4319717953763513,0.5680282046236487,0.4145421050326194,0.5854578949673805,0.38860456178718983,0.6113954382128102,0.36231941907303317,0.6376805809269668,0.328837057921044,0.671162942078956,0.6504483745983585,0.328837057921044,0.671162942078956,0.2744834246910649,0.3048432878742899,0.3448541326073453,0.38249739583460646,0.44695465907776316,0.528607843197881,0.6504483745983585,0.4757787525462571,0.5242212474537429,0.45683472214158866,0.5431652778584113,0.4319717953763513,0.5680282046236487,0.4145421050326194,0.5854578949673805,0.38860456178718983,0.6113954382128102,0.36231941907303317,0.6376805809269668,0.328837057921044,0.671162942078956,0.0504,0.10800000000000001,0.16190000000000002,0.7313778225806451,0.7393210508358922,0.745946149816658,0.8913479838709677,0.8712467417263732,0.857673686048542
2.0,PyMDE,15,True,0.2730509161596901,0.3074350712289192,0.3472705237338813,0.38487218179531135,0.44831355391690797,0.5230839108638544,0.6313392738179583,0.4801337418933554,0.5198662581066447,0.4609682246983146,0.5390317753016853,0.43623081475220865,0.5637691852477913,0.41792923692950223,0.5820707630704978,0.39024754806246487,0.6097524519375351,0.3637754637455103,0.6362245362544897,0.3346730961947063,0.6653269038052937,0.6313392738179583,0.3346730961947063,0.6653269038052937,0.2730509161596901,0.3074350712289192,0.3472705237338813,0.38487218179531135,0.44831355391690797,0.5230839108638544,0.6313392738179583,0.4801337418933554,0.5198662581066447,0.4609682246983146,0.5390317753016853,0.43623081475220865,0.5637691852477913,0.41792923692950223,0.5820707630704978,0.39024754806246487,0.6097524519375351,0.3637754637455103,0.6362245362544897,0.3346730961947063,0.6653269038052937,0.0386,0.0988,0.15523333333333333,0.7124530241935484,0.7205909928352098,0.7300732320586695,0.8925026209677419,0.871746639372228,0.8585879867295269
2.0,PyMDE,16,True,0.2785739448376771,0.3145938445942987,0.3536988589846544,0.3911319386490686,0.4535884778537699,0.5318960816034392,0.6495314704479119,0.47315474312440864,0.5268452568755914,0.4527913881053932,0.5472086118946068,0.42862932994356345,0.5713706700564365,0.4112677032468422,0.5887322967531579,0.3855953919335885,0.6144046080664115,0.3602932048648175,0.6397067951351825,0.32865793973769497,0.671342060262305,0.6495314704479119,0.32865793973769497,0.671342060262305,0.2785739448376771,0.3145938445942987,0.3536988589846544,0.3911319386490686,0.4535884778537699,0.5318960816034392,0.6495314704479119,0.47315474312440864,0.5268452568755914,0.4527913881053932,0.5472086118946068,0.42862932994356345,0.5713706700564365,0.4112677032468422,0.5887322967531579,0.3855953919335885,0.6144046080664115,0.3602932048648175,0.6397067951351825,0.32865793973769497,0.671342060262305,0.0466,0.10693333333333334,0.16046666666666667,0.7301778225806452,0.7359149778232685,0.7410769338222456,0.894304435483871,0.8738651654725349,0.8609073162214074
2.0,PyMDE,17,True,0.26702406680034,0.30448707242379824,0.34642887261852684,0.3836386515867542,0.45177475332499745,0.5313411857427716,0.6445880049195799,0.47943193210486856,0.5205680678951314,0.4604854683972174,0.5395145316027826,0.4346389248065293,0.5653610751934707,0.4173778694905311,0.582622130509469,0.3908299272775803,0.6091700727224196,0.364191678814155,0.635808321185845,0.33165480891766974,0.6683451910823303,0.6445880049195799,0.33165480891766974,0.6683451910823303,0.26702406680034,0.30448707242379824,0.34642887261852684,0.3836386515867542,0.45177475332499745,0.5313411857427716,0.6445880049195799,0.47943193210486856,0.5205680678951314,0.4604854683972174,0.5395145316027826,0.4346389248065293,0.5653610751934707,0.4173778694905311,0.582622130509469,0.3908299272775803,0.6091700727224196,0.364191678814155,0.635808321185845,0.33165480891766974,0.6683451910823303,0.047799999999999995,0.10446666666666667,0.16473333333333334,0.7347002016129032,0.7400644148754691,0.7478559455212153,0.8886766129032257,0.8688290685772774,0.8560607647983237
