method,dim,metric,median,ci_lo,ci_hi,n_runs
PCC,200,shepard_p100__vs_truth,0.0042720540158871,0.0019733764832919,0.0140010193229543,3
PCC,200,shepard_p20__vs_truth,-0.0026791770782623,-0.0028923498754379,-0.0025997070774585,3
PCC,200,full_shepard,0.5753861525713617,0.5745577534418488,0.5822851669406091,3
PCC,200,shepard_p5__vs_ambient,0.211713531023522,0.2093247473870604,0.2138011312771144,3
PCC,200,knn_acc_k10,0.388,0.381,0.466,3
PCC,200,silhouette_2d,-0.0125226995592699,-0.0144165555388075,-0.0058936233070046,3
PCC,200,recall_k15,0.0233999999999999,0.0218,0.0242666666666666,3
PCC,300,shepard_p100__vs_truth,-0.001670697668483001,-0.007274874368487164,0.0010938436439581008,3
PCC,300,shepard_p20__vs_truth,-0.0034180865067402542,-0.005729908734054287,-0.0023334553745360523,3
PCC,300,full_shepard,0.5667054879323186,0.5663933468433655,0.573529907983854,3
PCC,300,shepard_p5__vs_ambient,0.20330628181557636,0.20256732908079012,0.20506987758329875,3
PCC,300,knn_acc_k10,0.393,0.375,0.406,3
PCC,300,silhouette_2d,-0.01890310217370573,-0.024931232582084538,-0.01802233302568258,3
PCC,300,recall_k15,0.02293333333333333,0.02266666666666667,0.023066666666666666,3
PCC,400,shepard_p100__vs_truth,-0.0012980657330979,-0.0054956492039007,0.0001452372323116,3
PCC,400,shepard_p20__vs_truth,0.0009975018650547,0.0004753701127587,0.0045208740633202,3
PCC,400,full_shepard,0.5617514679732708,0.5598904684408152,0.5623496207326798,3
PCC,400,shepard_p5__vs_ambient,0.216856494148828,0.2163231067541883,0.2205068137000881,3
PCC,400,knn_acc_k10,0.372,0.37,0.39,3
PCC,400,silhouette_2d,-0.013563211310829,-0.0145860019458993,-0.0119464985583521,3
PCC,400,recall_k15,0.0204666666666666,0.0187999999999999,0.0222666666666666,3
PCC,500,shepard_p100__vs_truth,0.011185585946986423,0.010831061180719099,0.01268254209628773,3
PCC,500,shepard_p20__vs_truth,-0.010355160755481822,-0.010406085702395734,-0.0046926142310558805,3
PCC,500,full_shepard,0.5567099595108053,0.5545814944881814,0.5578432383990486,3
PCC,500,shepard_p5__vs_ambient,0.23664947589262422,0.2345017759327278,0.23852128913348278,3
PCC,500,knn_acc_k10,0.354,0.339,0.359,3
PCC,500,silhouette_2d,-0.018720775609753774,-0.01940041890684577,-0.017949894869640878,3
PCC,500,tight_over_compression,0.007952362715326584,0.007864132203869778,0.007982417165314523,3
PCC,500,recall_k15,0.021333333333333333,0.020266666666666665,0.02206666666666667,3
PyMDE,6,shepard_p100__vs_truth,0.538504288195576,0.4832586827007988,0.5611744823743008,3
PyMDE,6,shepard_p20__vs_truth,0.0012183970259629,-0.006950443067161,0.0059144558592474,3
PyMDE,6,full_shepard,0.7042398701420438,0.6823065911407408,0.7168961859836387,3
PyMDE,6,shepard_p5__vs_ambient,0.4834702786498107,0.4696932798668039,0.4887578854480684,3
PyMDE,6,knn_acc_k10,0.99,0.988,0.992,3
PyMDE,6,silhouette_2d,0.5113615244903348,0.4582064864046625,0.5350848482784952,3
PyMDE,6,recall_k15,0.3164,0.3077333333333333,0.3166666666666666,3
PyMDE,40,shepard_p100__vs_truth,0.0113704005387925,0.008635127944606,0.0311764761180393,3
PyMDE,40,shepard_p20__vs_truth,0.0079427209132813,0.0028585537162637,0.0086667398540631,3
PyMDE,40,full_shepard,0.3527645078866855,0.3492476400805267,0.3596009801631602,3
PyMDE,40,shepard_p5__vs_ambient,0.1653466090104409,0.1579546748464001,0.1685435501797523,3
PyMDE,40,knn_acc_k10,0.555,0.48,0.687,3
PyMDE,40,silhouette_2d,-0.018683882573028,-0.0226223545689783,-0.0126731947289628,3
PyMDE,40,recall_k15,0.0292,0.0275333333333333,0.0368666666666666,3
PyMDE,80,shepard_p100__vs_truth,0.0151437478896247,0.0106571166064172,0.0174924769925617,3
PyMDE,80,shepard_p20__vs_truth,-0.0036125916614227,-0.0102673410182567,-0.0034578027795495,3
PyMDE,80,full_shepard,0.3386220258725202,0.3348154992556517,0.3425811083861297,3
PyMDE,80,shepard_p5__vs_ambient,0.1344327866801104,0.1311207328719694,0.1423586218489941,3
PyMDE,80,knn_acc_k10,0.412,0.337,0.441,3
PyMDE,80,silhouette_2d,-0.0259503708162548,-0.0281273189529241,-0.0189273214732374,3
PyMDE,80,recall_k15,0.0195333333333333,0.0186666666666666,0.0224666666666666,3
PyMDE,200,shepard_p100__vs_truth,0.0006975689178592,-0.0013962057096225,0.0027100616146735,3
PyMDE,200,shepard_p20__vs_truth,0.0022290566430349,-0.0055213991253316,0.0030737778167817,3
PyMDE,200,full_shepard,0.3282848184382756,0.325563020456026,0.3359893473311569,3
PyMDE,200,shepard_p5__vs_ambient,0.142016120818917,0.135992488250634,0.1453141759780305,3
PyMDE,200,knn_acc_k10,0.328,0.309,0.376,3
PyMDE,200,silhouette_2d,-0.0147046739395745,-0.023875630157384,-0.0146855181072845,3
PyMDE,200,recall_k15,0.0180666666666666,0.0163333333333333,0.0186,3
PyMDE,300,shepard_p100__vs_truth,-0.003020625771770211,-0.0032412655729755283,-0.001690965115477191,3
PyMDE,300,shepard_p20__vs_truth,-0.0014568210934514316,-0.0051873674237224825,0.0008759543215451329,3
PyMDE,300,full_shepard,0.31715636585984464,0.316491959950844,0.32646498871453694,3
PyMDE,300,shepard_p5__vs_ambient,0.1250392320358574,0.12319719521940416,0.13279582871385612,3
PyMDE,300,knn_acc_k10,0.349,0.327,0.353,3
PyMDE,300,silhouette_2d,-0.021943833489818976,-0.02409844517951739,-0.01969204509105414,3
PyMDE,300,recall_k15,0.016466666666666668,0.015600000000000001,0.0166,3
PyMDE,400,shepard_p100__vs_truth,-0.0013559048976854,-0.0057992574160856,0.0028486106839829,3
PyMDE,400,shepard_p20__vs_truth,0.0005836133001745,-0.0038701153529896,0.005339017973848,3
PyMDE,400,full_shepard,0.3159117385900353,0.3155725203186783,0.3206926609336022,3
PyMDE,400,shepard_p5__vs_ambient,0.1417835290176121,0.140226212565984,0.1422741119808276,3
PyMDE,400,knn_acc_k10,0.336,0.333,0.362,3
PyMDE,400,silhouette_2d,-0.0211363322225259,-0.0218254632503067,-0.0186506433935216,3
PyMDE,400,recall_k15,0.0154666666666666,0.0146,0.0172,3
PyMDE,500,shepard_p100__vs_truth,0.007506448536842127,0.0073639468188772894,0.010825186195075722,3
PyMDE,500,shepard_p20__vs_truth,0.0014013147007434343,-0.0011571912653951843,0.0028188768615184535,3
PyMDE,500,full_shepard,0.309332875348132,0.3065509110989504,0.32264911094940835,3
PyMDE,500,shepard_p5__vs_ambient,0.15058659008342826,0.14627372097540897,0.15687269379989632,3
PyMDE,500,knn_acc_k10,0.341,0.336,0.343,3
PyMDE,500,silhouette_2d,-0.021815733368222637,-0.02328894103154248,-0.017917988888128976,3
PyMDE,500,tight_over_compression,0.00753408732988995,0.007519860244734892,0.007535076105542214,3
PyMDE,500,recall_k15,0.0152,0.014733333333333333,0.015600000000000001,3
UMAP,6,shepard_p100__vs_truth,0.6712163539732743,0.6628678473958045,0.6739929893507299,3
UMAP,6,shepard_p20__vs_truth,-0.0136691894668107,-0.0141473690412091,-0.0132430670042658,3
UMAP,6,full_shepard,0.6173240330358643,0.6170978138622346,0.6253040975112933,3
UMAP,6,shepard_p5__vs_ambient,0.4809509591783605,0.4788680930135164,0.4834928562690422,3
UMAP,6,knn_acc_k10,1.0,1.0,1.0,3
UMAP,6,silhouette_2d,0.8639798735741286,0.859890162716765,0.881451156940592,3
UMAP,6,recall_k15,0.6022,0.5989333333333333,0.6112666666666667,3
UMAP,40,shepard_p100__vs_truth,0.6485602435454526,0.637255538908101,0.6499561803990298,3
UMAP,40,shepard_p20__vs_truth,0.0041877459792739,0.0028040154892012,0.0043032999120295,3
UMAP,40,full_shepard,0.2066715471779482,0.1978606090874004,0.2067915364727939,3
UMAP,40,shepard_p5__vs_ambient,0.2337011666170404,0.231467055051064,0.2417990776392716,3
UMAP,40,knn_acc_k10,0.995,0.994,0.996,3
UMAP,40,silhouette_2d,0.6060399084774402,0.6019958883686741,0.6139698483858477,3
UMAP,40,recall_k15,0.1524666666666666,0.1510666666666666,0.1564,3
UMAP,80,shepard_p100__vs_truth,0.4551263864554448,0.4469743024066062,0.4612400959094476,3
UMAP,80,shepard_p20__vs_truth,0.0146732952363023,0.0044629691524547,0.0147247924136394,3
UMAP,80,full_shepard,0.1153728341588392,0.1125945606126885,0.117163204212784,3
UMAP,80,shepard_p5__vs_ambient,0.173096064224269,0.1696979994144363,0.1734520300741099,3
UMAP,80,knn_acc_k10,0.904,0.901,0.915,3
UMAP,80,silhouette_2d,0.3537004812437889,0.3528843240029568,0.3629406786418474,3
UMAP,80,recall_k15,0.1181333333333333,0.1144,0.1208,3
UMAP,200,shepard_p100__vs_truth,0.053811698284046,0.0530640933578686,0.062619668996524,3
UMAP,200,shepard_p20__vs_truth,0.0044711707560737,-0.0062812699441955,0.0073671959030165,3
UMAP,200,full_shepard,0.0476075422783926,0.045655406842271,0.0489891400469816,3
UMAP,200,shepard_p5__vs_ambient,0.1575396516364414,0.1574748544356703,0.1615312650309406,3
UMAP,200,knn_acc_k10,0.46,0.422,0.502,3
UMAP,200,silhouette_2d,-0.0130574354044152,-0.0172832898490571,-0.0013939431233717,3
UMAP,200,recall_k15,0.0864,0.0832666666666666,0.0865333333333333,3
UMAP,300,shepard_p100__vs_truth,0.0224590381822882,0.0009112747538338199,0.02551765641953774,3
UMAP,300,shepard_p20__vs_truth,0.002213365263232388,-0.0023919172518827624,0.0032466438071209252,3
UMAP,300,full_shepard,0.03581606313516486,0.03353333137811114,0.041236004319888823,3
UMAP,300,shepard_p5__vs_ambient,0.16012259193031772,0.15692811632014952,0.16167704981596814,3
UMAP,300,knn_acc_k10,0.413,0.413,0.425,3
UMAP,300,silhouette_2d,-0.02057095335094266,-0.025649211554386476,-0.0181140540138491,3
UMAP,300,recall_k15,0.08933333333333333,0.0878,0.08946666666666667,3
UMAP,400,shepard_p100__vs_truth,0.0073710225680931,0.0001385816866896,0.0136694938994443,3
