dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
clusters,1.0,Isomap,stress_fidelity_p75__vs_truth,False,1,0.6169691890884534,0.6169691890884534,0.0,0.6169691890884534,0.6169691890884534
clusters,1.0,Isomap,stress_p100__vs_truth,False,1,0.3761850760264101,0.3761850760264101,0.0,0.3761850760264101,0.3761850760264101
clusters,1.0,Isomap,stress_fidelity_p100__vs_truth,False,1,0.62381492397359,0.62381492397359,0.0,0.62381492397359,0.62381492397359
clusters,1.0,Isomap,pp_shepard_p5__vs_truth,False,1,0.0084547913817317,0.0084547913817317,0.0,0.0084547913817317,0.0084547913817317
clusters,1.0,Isomap,pp_shepard_p10__vs_truth,False,1,0.0106287003410623,0.0106287003410623,0.0,0.0106287003410623,0.0106287003410623
clusters,1.0,Isomap,pp_shepard_p20__vs_truth,False,1,0.5404374255775112,0.5404374255775112,0.0,0.5404374255775112,0.5404374255775112
clusters,1.0,Isomap,pp_shepard_p30__vs_truth,False,1,0.6495119684264182,0.6495119684264182,0.0,0.6495119684264182,0.6495119684264182
clusters,1.0,Isomap,pp_shepard_p50__vs_truth,False,1,0.5329377615353318,0.5329377615353318,0.0,0.5329377615353318,0.5329377615353318
clusters,1.0,Isomap,pp_shepard_p75__vs_truth,False,1,0.4120682304256012,0.4120682304256012,0.0,0.4120682304256012,0.4120682304256012
clusters,1.0,Isomap,pp_shepard_p100__vs_truth,False,1,0.3401218474239029,0.3401218474239029,0.0,0.3401218474239029,0.3401218474239029
clusters,1.0,Isomap,cluster_ratio_truth,False,1,0.1100746913740618,0.1100746913740618,0.0,0.1100746913740618,0.1100746913740618
clusters,1.0,Isomap,cluster_ratio_2d,False,1,0.2406447150362986,0.2406447150362986,0.0,0.2406447150362986,0.2406447150362986
clusters,1.0,Isomap,cluster_over_compression,False,1,0.4574157855802411,0.4574157855802411,0.0,0.4574157855802411,0.4574157855802411
clusters,1.0,Isomap,recall_k5,False,1,0.0306,0.0306,0.0,0.0306,0.0306
clusters,1.0,Isomap,recall_k15,False,1,0.0894666666666666,0.0894666666666666,0.0,0.0894666666666666,0.0894666666666666
clusters,1.0,Isomap,recall_k30,False,1,0.1646999999999999,0.1646999999999999,0.0,0.1646999999999999,0.1646999999999999
clusters,1.0,Isomap,trust_k5,False,1,0.8907929435483871,0.8907929435483871,0.0,0.8907929435483871,0.8907929435483871
clusters,1.0,Isomap,trust_k15,False,1,0.8685602865916069,0.8685602865916069,0.0,0.8685602865916069,0.8685602865916069
clusters,1.0,Isomap,trust_k30,False,1,0.8456800419067575,0.8456800419067575,0.0,0.8456800419067575,0.8456800419067575
clusters,1.0,Isomap,cont_k5,False,1,0.8762211693548387,0.8762211693548387,0.0,0.8762211693548387,0.8762211693548387
clusters,1.0,Isomap,cont_k15,False,1,0.8846997611736609,0.8846997611736609,0.0,0.8846997611736609,0.8846997611736609
clusters,1.0,Isomap,cont_k30,False,1,0.8925315173738432,0.8925315173738432,0.0,0.8925315173738432,0.8925315173738432
clusters,1.0,PCA,shepard_p5__vs_ambient,False,1,0.0685173844961064,0.0685173844961064,0.0,0.0685173844961064,0.0685173844961064
clusters,1.0,PCA,shepard_p10__vs_ambient,False,1,0.0889692820541497,0.0889692820541497,0.0,0.0889692820541497,0.0889692820541497
clusters,1.0,PCA,shepard_p20__vs_ambient,False,1,0.6385263337852575,0.6385263337852575,0.0,0.6385263337852575,0.6385263337852575
clusters,1.0,PCA,shepard_p30__vs_ambient,False,1,0.7416826847122213,0.7416826847122213,0.0,0.7416826847122213,0.7416826847122213
clusters,1.0,PCA,shepard_p50__vs_ambient,False,1,0.622460998541605,0.622460998541605,0.0,0.622460998541605,0.622460998541605
clusters,1.0,PCA,shepard_p75__vs_ambient,False,1,0.5044533844167041,0.5044533844167041,0.0,0.5044533844167041,0.5044533844167041
clusters,1.0,PCA,shepard_p100__vs_ambient,False,1,0.4642325602448525,0.4642325602448525,0.0,0.4642325602448525,0.4642325602448525
clusters,1.0,PCA,stress_p5__vs_ambient,False,1,0.4615639126405741,0.4615639126405741,0.0,0.4615639126405741,0.4615639126405741
clusters,1.0,PCA,stress_fidelity_p5__vs_ambient,False,1,0.5384360873594258,0.5384360873594258,0.0,0.5384360873594258,0.5384360873594258
clusters,1.0,PCA,stress_p10__vs_ambient,False,1,0.4628868352297652,0.4628868352297652,0.0,0.4628868352297652,0.4628868352297652
clusters,1.0,PCA,stress_fidelity_p10__vs_ambient,False,1,0.5371131647702347,0.5371131647702347,0.0,0.5371131647702347,0.5371131647702347
clusters,1.0,PCA,stress_p20__vs_ambient,False,1,0.676446582067475,0.676446582067475,0.0,0.676446582067475,0.676446582067475
clusters,1.0,PCA,stress_fidelity_p20__vs_ambient,False,1,0.323553417932525,0.323553417932525,0.0,0.323553417932525,0.323553417932525
clusters,1.0,PCA,stress_p30__vs_ambient,False,1,0.5829656146284418,0.5829656146284418,0.0,0.5829656146284418,0.5829656146284418
clusters,1.0,PCA,stress_fidelity_p30__vs_ambient,False,1,0.4170343853715582,0.4170343853715582,0.0,0.4170343853715582,0.4170343853715582
clusters,1.0,PCA,stress_p50__vs_ambient,False,1,0.5108216994347446,0.5108216994347446,0.0,0.5108216994347446,0.5108216994347446
clusters,1.0,PCA,stress_fidelity_p50__vs_ambient,False,1,0.4891783005652553,0.4891783005652553,0.0,0.4891783005652553,0.4891783005652553
clusters,1.0,PCA,stress_p75__vs_ambient,False,1,0.475446607378639,0.475446607378639,0.0,0.475446607378639,0.475446607378639
clusters,1.0,PCA,stress_fidelity_p75__vs_ambient,False,1,0.524553392621361,0.524553392621361,0.0,0.524553392621361,0.524553392621361
clusters,1.0,PCA,stress_p100__vs_ambient,False,1,0.4552395646262325,0.4552395646262325,0.0,0.4552395646262325,0.4552395646262325
clusters,1.0,PCA,stress_fidelity_p100__vs_ambient,False,1,0.5447604353737674,0.5447604353737674,0.0,0.5447604353737674,0.5447604353737674
clusters,1.0,PCA,pp_shepard_p5__vs_ambient,False,1,0.0944511497522758,0.0944511497522758,0.0,0.0944511497522758,0.0944511497522758
clusters,1.0,PCA,pp_shepard_p10__vs_ambient,False,1,0.1074013758001019,0.1074013758001019,0.0,0.1074013758001019,0.1074013758001019
clusters,1.0,PCA,pp_shepard_p20__vs_ambient,False,1,0.6431533518432773,0.6431533518432773,0.0,0.6431533518432773,0.6431533518432773
clusters,1.0,PCA,pp_shepard_p30__vs_ambient,False,1,0.7494319043961064,0.7494319043961064,0.0,0.7494319043961064,0.7494319043961064
