method,minority_frac,metric,median,ci_lo,ci_hi,n_runs
PyMDE,0.5,cross_population_shepard__vs_ambient,0.4392316263413227,0.43533938161848684,0.4435436642143583,3
UMAP,0.05,full_shepard,0.44548504264755623,0.4108929765013517,0.4657862479411203,3
UMAP,0.05,shepard_p5__vs_ambient,0.17029360982871564,0.16718699312051288,0.1725514304817354,3
UMAP,0.05,minority_shepard__vs_ambient,0.04591875938331241,-0.03250462551476802,0.05501820061886857,3
UMAP,0.05,within_majority_shepard__vs_ambient,0.486133480477652,0.48230632307228266,0.4931265992070899,3
UMAP,0.05,within_minority_shepard__vs_ambient,0.45076198179108506,0.40253430572881677,0.4826907402438952,3
UMAP,0.05,cross_population_shepard__vs_ambient,0.03535535070248028,-0.045592087690073765,0.05004876912411318,3
UMAP,0.1,full_shepard,0.4987982398219386,0.48473752677355786,0.5461955495422831,3
UMAP,0.1,shepard_p5__vs_ambient,0.15435956124004432,0.15350217230519472,0.15809496884310476,3
UMAP,0.1,minority_shepard__vs_ambient,0.10462206259818671,0.10410466037049118,0.15031767916684544,3
UMAP,0.1,within_majority_shepard__vs_ambient,0.48754684137174825,0.4799229450253945,0.4945766746116204,3
UMAP,0.1,within_minority_shepard__vs_ambient,0.46369008023519254,0.42371566985758047,0.46389899221003006,3
UMAP,0.1,cross_population_shepard__vs_ambient,-0.01715444260386269,-0.018982861617668673,0.017420727492126017,3
UMAP,0.25,full_shepard,0.6089220035895185,0.4463973690966277,0.6647485199771935,3
UMAP,0.25,shepard_p5__vs_ambient,0.13507538720951884,0.12472105726408768,0.1355075908721548,3
UMAP,0.25,minority_shepard__vs_ambient,0.2523477203359094,0.12140450324533891,0.2536315328891298,3
UMAP,0.25,within_majority_shepard__vs_ambient,0.4835900319787689,0.46102767079483037,0.49310834565646416,3
UMAP,0.25,within_minority_shepard__vs_ambient,0.4921362792275748,0.46483476148781944,0.5044398776730186,3
UMAP,0.25,cross_population_shepard__vs_ambient,0.013613775877553658,0.011506218688649962,0.027594703245590834,3
UMAP,0.5,full_shepard,0.42627586908969645,0.41684199276665695,0.45566181692869423,3
UMAP,0.5,shepard_p5__vs_ambient,0.16783024263878257,0.16163414201529003,0.1751022437852742,3
UMAP,0.5,minority_shepard__vs_ambient,0.45856975809176426,0.37597088467655165,0.48800241232509783,3
UMAP,0.5,within_majority_shepard__vs_ambient,0.4717963377792412,0.469464077568784,0.4745882577913719,3
UMAP,0.5,within_minority_shepard__vs_ambient,0.471479156736291,0.4651599835790147,0.48831993599727586,3
UMAP,0.5,cross_population_shepard__vs_ambient,0.0032780989172070084,-0.003277789733105884,0.020174385041818597,3
t-SNE,0.05,full_shepard,0.5074174228644339,0.48409294526162444,0.5175194078898417,3
t-SNE,0.05,shepard_p5__vs_ambient,0.2735903831226519,0.2689263790027616,0.2764497681386547,3
t-SNE,0.05,minority_shepard__vs_ambient,0.0701697415999882,0.046688758907231974,0.10977180506049965,3
t-SNE,0.05,within_majority_shepard__vs_ambient,0.4780999792744389,0.46496209802469857,0.4933539837150967,3
t-SNE,0.05,within_minority_shepard__vs_ambient,0.6583513797035944,0.6403450972558681,0.658523161303673,3
t-SNE,0.05,cross_population_shepard__vs_ambient,-0.0036351279658834797,-0.028979742510024553,0.039110578579069855,3
t-SNE,0.1,full_shepard,0.5559978201194048,0.5387812910486129,0.5745079350920355,3
t-SNE,0.1,shepard_p5__vs_ambient,0.266137787157339,0.26390084956091003,0.2679672609104187,3
t-SNE,0.1,minority_shepard__vs_ambient,0.14120370888754125,0.13832655991569015,0.16653348377843172,3
t-SNE,0.1,within_majority_shepard__vs_ambient,0.48742774853589604,0.47362991115192676,0.5002913609724013,3
t-SNE,0.1,within_minority_shepard__vs_ambient,0.559024051210351,0.5563610269575632,0.5595112663257882,3
t-SNE,0.1,cross_population_shepard__vs_ambient,-0.00836077036294166,-0.01173931878818181,0.02138294239439296,3
t-SNE,0.25,full_shepard,0.45659505516888416,0.3956921233432218,0.4658078831153659,3
t-SNE,0.25,shepard_p5__vs_ambient,0.26242284287663686,0.26153525926676374,0.2643173705342936,3
t-SNE,0.25,minority_shepard__vs_ambient,-0.025269779541410114,-0.04590411992703746,0.040099029524322725,3
t-SNE,0.25,within_majority_shepard__vs_ambient,0.4863081781607373,0.4551851419496572,0.49011565308438587,3
t-SNE,0.25,within_minority_shepard__vs_ambient,0.4766889072390093,0.468834485961841,0.4804509028856929,3
t-SNE,0.25,cross_population_shepard__vs_ambient,0.010894809580694609,0.005427095939430261,0.01218559356449296,3
t-SNE,0.5,full_shepard,0.436295119908062,0.20947409928734087,0.4624024655775334,3
t-SNE,0.5,shepard_p5__vs_ambient,0.35665761262248874,0.3533511291200886,0.3597082081697185,3
t-SNE,0.5,minority_shepard__vs_ambient,0.3455562208649437,0.1521401153041855,0.49920338327714614,3
t-SNE,0.5,within_majority_shepard__vs_ambient,0.47692198045644035,0.4731995746910084,0.4772780693075131,3
t-SNE,0.5,within_minority_shepard__vs_ambient,0.4741560122910033,0.4720379376288845,0.49396014128126337,3
t-SNE,0.5,cross_population_shepard__vs_ambient,0.007697318668551444,-0.013311001807878382,0.011828877116152652,3
toorPIA,0.05,full_shepard,0.8208778389380436,0.8208778389380436,0.8208778389380436,1
toorPIA,0.05,shepard_p5__vs_ambient,0.11194770441708693,0.11194770441708693,0.11194770441708693,1
toorPIA,0.05,minority_shepard__vs_ambient,0.6851396233642663,0.6851396233642663,0.6851396233642663,1
toorPIA,0.05,within_majority_shepard__vs_ambient,0.7608124133747921,0.7608124133747921,0.7608124133747921,1
toorPIA,0.05,within_minority_shepard__vs_ambient,0.23747248328368867,0.23747248328368867,0.23747248328368867,1
toorPIA,0.05,cross_population_shepard__vs_ambient,0.6601588137352411,0.6601588137352411,0.6601588137352411,1
toorPIA,0.1,full_shepard,0.8595668775898726,0.8595668775898726,0.8595668775898726,1
toorPIA,0.1,shepard_p5__vs_ambient,0.11389819724814579,0.11389819724814579,0.11389819724814579,1
toorPIA,0.1,minority_shepard__vs_ambient,0.6402925108302399,0.6402925108302399,0.6402925108302399,1
toorPIA,0.1,within_majority_shepard__vs_ambient,0.757020224604604,0.757020224604604,0.757020224604604,1
toorPIA,0.1,within_minority_shepard__vs_ambient,0.3676222143461341,0.3676222143461341,0.3676222143461341,1
toorPIA,0.1,cross_population_shepard__vs_ambient,0.5777217951640151,0.5777217951640151,0.5777217951640151,1
toorPIA,0.25,full_shepard,0.906429130973442,0.906429130973442,0.906429130973442,1
toorPIA,0.25,shepard_p5__vs_ambient,0.10589494229568158,0.10589494229568158,0.10589494229568158,1
toorPIA,0.25,minority_shepard__vs_ambient,0.7054944001647083,0.7054944001647083,0.7054944001647083,1
toorPIA,0.25,within_majority_shepard__vs_ambient,0.7647365321170284,0.7647365321170284,0.7647365321170284,1
toorPIA,0.25,within_minority_shepard__vs_ambient,0.4651853849110775,0.4651853849110775,0.4651853849110775,1
toorPIA,0.25,cross_population_shepard__vs_ambient,0.5355836670808202,0.5355836670808202,0.5355836670808202,1
toorPIA,0.5,full_shepard,0.8751630245676244,0.8751630245676244,0.8751630245676244,1
toorPIA,0.5,shepard_p5__vs_ambient,0.10307915416609266,0.10307915416609266,0.10307915416609266,1
toorPIA,0.5,minority_shepard__vs_ambient,0.793223412271213,0.793223412271213,0.793223412271213,1
toorPIA,0.5,within_majority_shepard__vs_ambient,0.7009804969390373,0.7009804969390373,0.7009804969390373,1
toorPIA,0.5,within_minority_shepard__vs_ambient,0.6791567888074711,0.6791567888074711,0.6791567888074711,1
toorPIA,0.5,cross_population_shepard__vs_ambient,0.34338907802118207,0.34338907802118207,0.34338907802118207,1
