method,outlier_factor,metric,median,ci_lo,ci_hi,n_runs
PCA,2.0,full_shepard,0.5899367955314363,0.5899367955314363,0.5899367955314363,1
PCA,2.0,shepard_p5__vs_ambient,0.2835847761301929,0.2835847761301929,0.2835847761301929,1
PCA,2.0,outlier_shepard__vs_ambient,0.18772331746427448,0.18772331746427448,0.18772331746427448,1
PCA,2.0,pair_angle_2d_max,9.020626038068142,9.020626038068142,9.020626038068142,1
PCA,3.0,full_shepard,0.589935257243188,0.589935257243188,0.589935257243188,1
PCA,3.0,shepard_p5__vs_ambient,0.28358477612788197,0.28358477612788197,0.28358477612788197,1
PCA,3.0,outlier_shepard__vs_ambient,0.1572786533475345,0.1572786533475345,0.1572786533475345,1
PCA,3.0,pair_angle_2d_max,6.237204667570887,6.237204667570887,6.237204667570887,1
PCA,5.0,full_shepard,0.5899349416753018,0.5899349416753018,0.5899349416753018,1
PCA,5.0,shepard_p5__vs_ambient,0.2835847761294226,0.2835847761294226,0.2835847761294226,1
PCA,5.0,outlier_shepard__vs_ambient,0.15113690357146417,0.15113690357146417,0.15113690357146417,1
PCA,5.0,pair_angle_2d_max,5.051415396668333,5.051415396668333,5.051415396668333,1
PCA,8.0,full_shepard,0.5899349416881401,0.5899349416881401,0.5899349416881401,1
PCA,8.0,shepard_p5__vs_ambient,0.2835847761301929,0.2835847761301929,0.2835847761301929,1
PCA,8.0,outlier_shepard__vs_ambient,0.1511720916771578,0.1511720916771578,0.1511720916771578,1
PCA,8.0,pair_angle_2d_max,7.876610874313147,7.876610874313147,7.876610874313147,1
PCC,1.5,full_shepard,0.690803672309767,0.6833389939734102,0.6921571955332955,3
PCC,1.5,shepard_p5__vs_ambient,0.2151265962787524,0.21145014748483615,0.21605895362943503,3
PCC,1.5,outlier_shepard__vs_ambient,0.2165269648279579,0.21642674878976875,0.22191142065262787,3
PCC,1.5,pair_angle_2d_max,141.77417812109502,69.94697664494517,146.37293570120343,3
PCC,2.0,full_shepard,0.698406912475889,0.691982948925059,0.699131987970125,3
PCC,2.0,shepard_p5__vs_ambient,0.21504292010943957,0.21128467758866337,0.21600705915654092,3
PCC,2.0,outlier_shepard__vs_ambient,0.1232752414124394,0.11857526980994267,0.13848014401600808,3
PCC,2.0,pair_angle_2d_max,97.57734969256765,83.89057548915054,168.85423975596086,3
PCC,3.0,full_shepard,0.699146566151848,0.6852555099549794,0.7022997956954021,3
PCC,3.0,shepard_p5__vs_ambient,0.21642138755351925,0.2111966489183818,0.2175649708302591,3
PCC,3.0,outlier_shepard__vs_ambient,0.1385789636276144,0.12180323537695094,0.14877668073600128,3
PCC,3.0,pair_angle_2d_max,89.64720854089403,86.59720354396372,170.93091501189872,3
PCC,5.0,full_shepard,0.7011497866983488,0.6851395678405549,0.7024639157121595,3
PCC,5.0,shepard_p5__vs_ambient,0.21303339638914828,0.21147301668898844,0.21653815942478485,3
PCC,5.0,outlier_shepard__vs_ambient,0.14403369244468395,0.1139055327410319,0.15102063714471778,3
PCC,5.0,pair_angle_2d_max,82.51275402174558,78.65096664080042,166.23227403746984,3
PCC,8.0,full_shepard,0.7011719800148677,0.69555299371279,0.7025552547752093,3
PCC,8.0,shepard_p5__vs_ambient,0.21167568602692882,0.21151760876868717,0.21498798705329553,3
PCC,8.0,outlier_shepard__vs_ambient,0.1421495203049405,0.10449787055449435,0.15590666344836754,3
PCC,8.0,pair_angle_2d_max,80.20634244794857,74.21236475427203,165.88835686199698,3
PyMDE,1.5,full_shepard,0.6527068703602162,0.5754372655961597,0.6537742332370498,3
PyMDE,1.5,shepard_p5__vs_ambient,0.27127069252171737,0.2001678763071688,0.2718291686638786,3
PyMDE,1.5,outlier_shepard__vs_ambient,0.14794464854413783,0.134140384184112,0.15108447004092912,3
PyMDE,1.5,pair_angle_2d_max,157.64114170367216,57.816610715566455,176.13624648987297,3
PyMDE,2.0,full_shepard,0.6417500196161742,0.56103349811213,0.6647133173397969,3
