dataset,method,knob,value,metric,median,ci_lo,ci_hi,n_runs
density,UMAP,n_neighbors,30,shepard_near__vs_ambient,0.05810698319561207,0.04335206700139248,0.06233022922680659,3
density,UMAP,n_neighbors,30,recall_k15,0.1922,0.19033333333333333,0.19886666666666666,3
density,UMAP,n_neighbors,50,full_shepard,0.23419531560973947,0.23107033531751192,0.2601768106799562,3
density,UMAP,n_neighbors,50,shepard_near__vs_ambient,0.057943797301597516,0.03645073647624261,0.05971985921462815,3
density,UMAP,n_neighbors,50,recall_k15,0.1782,0.17753333333333332,0.18286666666666665,3
density,UMAP,n_neighbors,100,full_shepard,0.2637113675275987,0.2582385573638873,0.2763467863972165,3
density,UMAP,n_neighbors,100,shepard_near__vs_ambient,0.048763293921699376,0.046552561790586956,0.06231858098449751,3
density,UMAP,n_neighbors,100,recall_k15,0.17466666666666666,0.16440000000000002,0.1776,3
density,t-SNE,perplexity,5,full_shepard,0.1816214595562857,0.17549698384623252,0.19321413762995293,3
density,t-SNE,perplexity,5,shepard_near__vs_ambient,0.049697820627545145,0.04413315159936054,0.0596513544095374,3
density,t-SNE,perplexity,5,recall_k15,0.22466666666666668,0.2237333333333333,0.22626666666666667,3
density,t-SNE,perplexity,15,full_shepard,0.20749637113890612,0.18489660965756055,0.21021489231769,3
density,t-SNE,perplexity,15,shepard_near__vs_ambient,0.16756311648092134,0.14980136234416752,0.16964711470183613,3
density,t-SNE,perplexity,15,recall_k15,0.2476,0.24346666666666666,0.24973333333333333,3
density,t-SNE,perplexity,30,full_shepard,0.299913893518817,0.27723915497429935,0.30924444380918187,3
density,t-SNE,perplexity,30,shepard_near__vs_ambient,0.26046358848926116,0.25890688143678897,0.2660567144500356,3
density,t-SNE,perplexity,30,recall_k15,0.2542666666666667,0.25020000000000003,0.25880000000000003,3
density,t-SNE,perplexity,50,full_shepard,0.44943263208031786,0.43184648112298324,0.4615665806619444,3
density,t-SNE,perplexity,50,shepard_near__vs_ambient,0.31664709632278804,0.3159682079788956,0.3219408147415982,3
density,t-SNE,perplexity,50,recall_k15,0.25420000000000004,0.25206666666666666,0.25433333333333336,3
density,t-SNE,perplexity,100,full_shepard,0.5990276103977789,0.5974492248097839,0.6038179980446811,3
density,t-SNE,perplexity,100,shepard_near__vs_ambient,0.4109310503969799,0.4100093541961633,0.4179157657676348,3
density,t-SNE,perplexity,100,recall_k15,0.22986666666666666,0.22920000000000001,0.23146666666666665,3
